Буфф (Кестнер), Шарлотта	[' (1753—1828), знакомая Гете, прототип Лотты в романе «Страдания молодого Вертера» — ']	['III']	['295']
Бухарин, Николай Иванович	[' (1888—1938), сов. парт. и госуд. деятель — ']	['II', 'IV']	['502,505', '32']
Бучма, Амвросий Максимилианович	[' (1891—1957), актер — ']	['II']	['442,558,637']
Бюно-Барилла	[]	['']	[]
Бюно-Варийя, Морис	[' (1856—1944), французский предприниматель, владелец газеты «Матэн» — ']	['II']	['430,431']
Бюргер, Готфрид Август	[' (1747—1794), немецкий поэт — ']	['III']	['247']
Бюффон, Жорж Луи Леклерк	[' (1707—1788), французский естествоиспытатель — ']	['III']	['200,201,213,386,391,398,461']
Вагинов (Вагенгейм), Константин Константинович	[' (1899—1934), поэт, прозаик — ']	['II', 'IV']	['409', '74,78,384']
Вагнер, Рихард	[' (1813—1883), немецкий композитор — ']	['II', 'III']	['369(?)', '230']
Важа Пшавела	[' (наст. имя Лука Разикашвили; 1861—1915), грузинский поэт — ']	['II']	['88,235,236,540,543,610']
Вальтер, Иоганн Готфрид	[' (1684—1748), немецкий музыкальный теоретик и лексикограф, композитор — ']	['III']	['244']
Ван Гог, Винсент	[' (1853—1890), голландский художник — ']	['III']	['198']
Вандервельде, Эмиль	[' (1868—1938), бельгийский полит. и госуд. деятель — ']	['II']	['317,320,629']
Варвара Кирилловна	[' — ']	['IV']	['85']
Варга, Евгений Самойлович	[' (1879—1964), венгерский коммунист, позже советский экономист — ']	['II']	['327,630']
Варковицкая, Лидия Моисеевна	[' (1892—1975), редактор — ']	['III', 'IV']	['444', '97,98,155,390']
Варламов, Константин Александрович	[' (1848—1915), актер — ']	['II']	['442,637']
Вартаньян, Гокор (Григор),	[' армянский общ. и полит. деятель — ']	['III']	['376,377,459']
Вартаньян, Марго,	[' дочь Вартаньяна Г. — ']	['III']	['376,377']
Варшавский А. М.,	[' общественный деятель — ']	['II']	['361']
Васильев, Павел Николаевич	[' (1910—1937), поэт — ']	['III']	['151']
Васко де Гама 	['(1469—1524), португальский мореплаватель — ']	['II']	['189']
Вахтангов, Евгений Багратионович 	['(1883—1922), режиссер, актер, педагог — ']	['II']	['459,559']
Вашингтон, Джордж	[' (1732—1799), президент США в 1789—1797 гг. — ']	['II']	['561']
Введенский, Александр Иванович	[' (1856—1925), философ — ']	['IV']	['24,372']
Введенский, Иринарх Иванович	[' (1813—1855), переводчик, критик, педагог — ']	['II']	['444,637']
Ведринская, Мария Андреевна	[' (1877—?), актриса — ']	['II']	['368']
Вейнберг, Петр Исаевич	[' (1831—1908), поэт, переводчик — ']	['II']	['367']
